card_no,slug,visible,association,cluster,cluster_title,section_no,card_order,connect_to,type,width,title,kicker,body,metric_value,metric_label,quote,caption,image_src,link_label,link_url,map_lat,map_lng,map_address,timeline_30,timeline_60,timeline_90,tags,notes
001,tw-creative-director-overview,show,trustwallet,trust-wallet-role,,0,1,,text-image-ext,320,We're looking for a Creative Director to own and evolve our brand identity.,Role description,"You'll lead our brand design team, set the creative vision, and ensure everything we put out into the world is cohesive, intentional, and distinctive. You'll work closely with marketing, product, and leadership to build a brand that reflects where we're going.",,,,,ds_trustwallet_cardimage_1.png,,,,,,,,,trust-wallet|creative-director|brand-identity|creative-vision|cohesion,Trust Wallet job offer item: role overview text card
002,tw-brand-creative-vision,show,trustwallet,trust-wallet-role,,0,2,,quote,320,Own brand creative vision,What’s the job?,,,,Own the brand creative vision and visual identity system,From the Trust Wallet role description.,t_cardimage_6.png,,,,,,,,,brand-vision|visual-identity|identity-system|trust-wallet,Trust Wallet job offer item: quote card
003,tw-brand-guidelines-standards,show,trustwallet,trust-wallet-role,,0,4,,quote,320,Lead the brand design team,What’s the job?,,,,Lead and mentor the brand design team (currently 2 designers),From the Trust Wallet role description.,t_cardimage_7.png,,,,,,,,,brand-guidelines|creative-standards|governance|quality-bar,Trust Wallet job offer item: quote card
004,tw-major-creative-projects,show,trustwallet,trust-wallet-role,,0,5,,quote,320,Drive major creative projects,What’s the job?,,,,"Drive major creative projects including campaigns, brand refreshes, and new product launches",From the Trust Wallet role description.,,,,,,,,,,campaigns|brand-refresh|launches|creative-projects,Trust Wallet job offer item: quote card
005,tw-tech-startup-context,show,trustwallet,trust-wallet-about,,0,6,,quote,320,Maintain brand standards,What’s the job?,,,,Establish and maintain brand guidelines and creative standards,From the Trust Wallet role description.,,,,,,,,,,tech-company|startup|pace|brand-quality|ambiguity,Trust Wallet job offer item: quote card
006,tw-go-to-market-creative,show,trustwallet,trust-wallet-cross-functional,,0,18,,quote,320,Partner on go-to-market creative,What’s the job?,,,,Partner with marketing on go-to-market creative,From the Trust Wallet role description.,,,,,,,,,,go-to-market|marketing|creative-direction|campaigns,Trust Wallet job offer item: quote card
007,tw-senior-leadership-presentation,show,trustwallet,trust-wallet-cross-functional,,0,17,,quote,320,Present creative strategy,What’s the job?,,,,Present creative work and strategy to senior leadership,From the Trust Wallet role description.,,,,,,,,,,presentation|strategy|leadership|creative-rationale,Trust Wallet job offer item: quote card
008,tw-agencies-freelancers,show,trustwallet,trust-wallet-cross-functional,,0,12,,quote,320,Manage external creative partners,What’s the job?,,,,Manage external agencies and freelancers when needed,From the Trust Wallet role description.,,,,,,,,,,agencies|freelancers|creative-operations|ownership,Trust Wallet job offer item: quote card
009,tw-motion-design-sensibility,show,trustwallet,trust-wallet-craft,,0,14,,quote,320,Motion design sensibility,About you,,,,"Motion design sensibility, given there is a motion designer on the team.",From the Trust Wallet role description.,,,,,,,,,,motion-design|craft|creative-direction|visual-quality,Trust Wallet job offer item: quote card
010,tw-clear-creative-communication,show,trustwallet,trust-wallet-cross-functional,,0,15,,text-image-ext,320,Clear creative communication,About you,"Strong communicator who can articulate creative decisions clearly to teams, partners, and senior stakeholders.",,,,,ds_trustwallet_cardimage_2.png,,,,,,,,,communication|creative-rationale|stakeholders|leadership,Trust Wallet job offer item
011,galacticshift-validator-35-increase-in-users-for-a-top-3-terra-classic-wallet,show,ds,ds-wallet-crypto,Wallet and crypto,2,1,001|047|048,text-image-ext,320,35% Increase in the number of users of #Top3 Wallet,GalacticShift Validator,Improvements to the interface created by developers with no design experience aimed at increasing the usability of the tool and therefore its popularity and number of users.,35% ,increase in users number,,Cryptocurrency / Blockchain,case_terraclassicwallet_01.jpg,View source case study,https://www.behance.net/gallery/242264477/Terra-Classic-Wallet-UXUI,,,,,,,Product Strategy|Product/UX/UI Design|Brand Design|Case Study|Web3|Terra Classic|Product UX|Growth,Imported from main DS 2026 row 004; case-study rows adapted to Trust Wallet DS card templates.
012,challenge-lunc-validator-operating-inside-a-live-decentralized-ecosystem,show,ds,ds-wallet-crypto,Wallet and crypto,2,2,001,text-image-ext,320,CHALLENGE LUNC Validator — Operating inside a live decentralized ecosystem,Validator Ops / Skin in the Game,"Launched and operated the CHALLENGE LUNC validator, gaining first-hand experience with staking, delegation, commissions, delegator communication, infrastructure, and monitoring realities. This gave me a practical view of validator dynamics beyond design theory.",,,,Direct operating experience inside a live decentralised ecosystem.,ds_cardimage_25.png,,,,,,,,,Operations & Finance|Trading & Automation|Public Speaking & Networking|Web3|Terra Classic|DeFi|Public Presence,Imported from main DS 2026 row 011; case-study rows adapted to Trust Wallet DS card templates.
013,tecra-space-bigbang-brand-strategy-and-product-design-for-a-crypto-exchange,show,ds,ds-wallet-crypto,Wallet and crypto,2,3,001|002|004|047|048|050,text-image-ext,320,BIGBANG - Explosive brand strategy and product design for crypto exchange,Tecra Space,"1.) Expanding the Tecra Space ecosystem with a decentralized cryptocurrency exchange that is characterized by a unique image, consistent in terms of its main theme (space). 2.) Adding a unique market for utility tokens to the Tecra Space ecosystem, where tokenized projects on the platform can be listed. 3.) Building brand strategy and designing complex yet easy to use cryptocurrency exchange platform for newcomers to enter the market. 4.) Create a.",,,,Cryptocurrency / Blockchain,case_bigbang_01.jpg,View source case study,https://www.behance.net/gallery/143483047/BIGBANG-crypto-exchange-Branding-UXUI-design,,,,,,,Product Strategy|Product/UX/UI Design|Brand Strategy|Brand Design|Case Study|Web3|Fintech|Trading|Product UX,Imported from main DS 2026 row 006; case-study rows adapted to Trust Wallet DS card templates.
014,prov-professional-validators-on-popular-pos-blockchain-networks,show,ds,ds-wallet-crypto,Wallet and crypto,2,4,001,text-image-ext,320,Professional validators on popular PoS blockchain networks,PROV,Creation of brand strategy and product design of a tool that aims to help investors choose a reliable validator.,,,,Cryptocurrency / Blockchain,case_prov_01.jpg,View source case study,,,,,,,,Product Strategy|Product/UX/UI Design|Brand Strategy|Content & Narrative|Case Study|Web3|DeFi|Trust UX|Product UX,Imported from main DS 2026 row 005; case-study rows adapted to Trust Wallet DS card templates.
015,project-uri-trading-automation-and-burn-mechanics-for-terra-classic,show,ds,ds-wallet-crypto,Wallet and crypto,2,5,047,text-image-ext,320,Project URI — Trading automation and burn mechanics for Terra Classic,Trading Automation / Tokenomics Concept,"Concept for an autonomous on-chain trading and burn engine for stablecoin deposits: take deposited stablecoins, run non-custodial parameterised market strategies, generate additional amounts of the base pair, burn a fixed share, and return the rest to depositors.",,,,"Product concept connecting trading automation, user incentives, and Terra Classic burn mechanics.",ds_cardimage_26.png,,,,,,,,,Product Strategy|Product/UX/UI Design|Content & Narrative|Trading & Automation|Web3|Terra Classic|Trading|DeFi|Product UX,Imported from main DS 2026 row 012; case-study rows adapted to Trust Wallet DS card templates.
016,terra-classic-ecosystem-website-zero-canonical-presence-to-42k-active-users,show,ds,ds-wallet-crypto,Wallet and crypto,2,6,001|002|004|006|047|048|050,text-image-ext,320,Zero canonical presence → 42k active users: launching Terra Classic’s first ecosystem website,Terra Classic (L1 Blockchain),Improving the image and digital presence of what was once one of the largest and most popular blockchains in the world but suffered the biggest fall in the history of this market.,42k,active users,,Cryptocurrency / Blockchain,case_terra-classic_01.jpg,View source case study,https://www.behance.net/gallery/242785097/Terra-Classic-Brand-strategy-website,,,,,,,Product Strategy|Product/UX/UI Design|Brand Strategy|Content & Narrative|Case Study|Web3|Terra Classic|Product UX|Growth,Imported from main DS 2026 row 002; case-study rows adapted to Trust Wallet DS card templates.
017,find-ai-ai-discovery-product-for-navigating-modern-ai-tools,show,ds,ds-ai-native,AI-native proof,11,1,009,link,320,FindAI — AI discovery product for navigating modern AI tools,AI-native product experiment,"A focused product experiment for making the fast-growing AI tool landscape easier to browse, compare, and understand. It shows how I use AI-native workflows to move from product idea to usable interface, not just static concept.",,,,Live prototype / AI tool navigation,ds_cardimage_12.png,Play FindAI game,https://findai.dawidskinder.pl,,,,,,,Product Strategy|Product/UX/UI Design|AI-native Product Creation|Prototype|AI|AI-Native|Product UX,Imported from main DS 2026 row 015; case-study rows adapted to Trust Wallet DS card templates.
018,this-website-a-live-ai-native-evidence-map-prototype-not-a-figma-concept,show,ds,ds-ai-native,AI-native proof,11,2,001|009|047,text,320,This website is the proof,Interactive evidence map,"The site demonstrates the working method directly: map the complexity, structure the evidence, connect claims to proof, and ship a polished interactive artifact instead of only describing the capability.",,,,"A live proof-of-fit artifact built as an interactive website, not only a portfolio mockup.",,,,,,,,,,Product/UX/UI Design|AI-native Product Creation|Creative Direction & Art Direction|Content & Narrative|Prototype|AI|AI-Native|Product UX|Narrative,Imported from main DS 2026 row 017; case-study rows adapted to Trust Wallet DS card templates.
019,ai-assisted-build-layer-from-idea-to-working-product-artifact-faster,show,ds,ds-ai-native,AI-native proof,11,3,009|047,text,320,AI-Assisted Build Layer — From idea to working product artifact faster,AI-assisted build layer,"I use ChatGPT Codex, Replit, Framer, and related AI tools across structuring, implementation, debugging, iteration, and handoff. The point is not to replace judgment; it is to compress the distance between strategic intent and working product artifact.",,,,,,,,,,,,,,Product Strategy|Product/UX/UI Design|AI-native Product Creation|AI|AI-Native|Prototype|Product UX,Imported from main DS 2026 row 019; case-study rows adapted to Trust Wallet DS card templates.
020,web3-cities-interactive-crypto-market-data-transformed-into-cinematic-3d-cities,show,ds,ds-ai-native,AI-native proof,11,4,004|009|047|048|050,text-image-ext,320,Web3 Cities — Interactive crypto market data transformed into cinematic 3D cities,Creative technology / market-data UX,"Web3 Cities transforms crypto market activity into explorable 3D cities. It proves I can think beyond standard dashboards and combine product logic, market data, visual systems, interaction design, and AI-assisted build execution into one coherent experience.",,,,Interactive market-data concept / Web3 creative technology,ds_cardimage_11.png,Open Web3 Cities,https://web3cities.dawidskinder.pl,,,,,,,Product Strategy|Product/UX/UI Design|AI-native Product Creation|Creative Direction & Art Direction|Prototype|Web3|AI|AI-Native|Creative Direction,Imported from main DS 2026 row 014; case-study rows adapted to Trust Wallet DS card templates.
021,ai-powered-dex-futures-bot-hyperliquid-trading-automation-prototype,show,ds,ds-ai-native,AI-native proof,11,5,048,text-image-ext,320,AI-Powered DEX Futures Bot — Hyperliquid trading automation prototype,Trading automation prototype,"A Mac desktop app concept built around Hyperliquid perpetuals, personal trading logic, and ChatGPT as an AI trader. It combines trading literacy, automation logic, risk controls, and UX thinking for high-stakes on-chain market products.",,,,AI-assisted trading product / DEX futures UX,ds_cardimage_22.png,,,,,,,,,Product Strategy|Product/UX/UI Design|AI-native Product Creation|Trading & Automation|Prototype|Web3|AI|Trading|Trading UX,Imported from main DS 2026 row 016; case-study rows adapted to Trust Wallet DS card templates.
022,ds-web3cities-link,show,ds,ds-ai-native,AI-native proof,11,9,009,link,320,Web3 Cities by Dawid Skinder,Proof surface,Code-facing proof that the work is moving beyond static files into AI-assisted build and prototype territory.,,,,,,Web3 Cities by Dawid Skinder,https://web3cities.dawidskinder.pl,,,,,,,github|prototype|build|public-proof,Outer ring link
023,stablecoin-trust-layer-explaining-yield-backing-risk-and-stress-behavior,show,ds,ds-security-risk,Security and risk,1,1,010|048,text,320,"Stablecoin Trust Layer — Explaining yield, backing, risk and stress behavior",Stablecoin and yield-bearing asset UX,"Stablecoins and yield-bearing instruments live on the front line of trust. Users need to understand where yield comes from, how stability is maintained, how risk is managed and what happens under stress. My role is to turn that mechanism into clear narrative, documentation and product surfaces that can stand up to retail, DeFi-native, institutional and regulatory scrutiny.",,,,"Risk, yield, backing and stress-state communication.",,,,,,,,,,Product Strategy|Product/UX/UI Design|Content & Narrative|Stablecoin|DeFi|Trust UX|Technical Communication,Imported from main DS 2026 row 055; case-study rows adapted to Trust Wallet DS card templates.
024,legal-compliance-aware-defi-ux,show,ds,ds-security-risk,Security and risk,1,2,010|048,text,320,Legal / Compliance-Aware DeFi UX,"DeFi, legal and compliance-aware product design","Juris Protocol pushed my work into the intersection of DeFi, lending, legal structure and compliance-sensitive communication. That kind of product has to feel modern and crypto-native, but also disciplined enough for lawyers, institutions, partners and conservative stakeholders to take seriously.",,,,Making regulated-adjacent DeFi understandable without flattening the risk.,,,,,,,,,,Product Strategy|Product/UX/UI Design|Content & Narrative|DeFi|Fintech|Trust UX|Product UX,Imported from main DS 2026 row 059; case-study rows adapted to Trust Wallet DS card templates.
025,post-collapse-communication-designing-for-credibility-after-trust-failure,show,ds,ds-security-risk,Security and risk,1,3,010,quote,320,Post-Collapse Communication — Designing for credibility after trust failure,,,,,"After a collapse, credibility is not rebuilt through hype. It is rebuilt through transparent communication, visible risk controls, consistent UX and narratives that acknowledge history while pointing to a credible future.",Terra Classic experience and post-collapse trust repair.,,,,,,,,,,Brand Strategy|Content & Narrative|Public Speaking & Networking|Terra Classic|Trust UX|Narrative|Public Presence,Imported from main DS 2026 row 056; case-study rows adapted to Trust Wallet DS card templates.
026,risk-visibility-in-trading-ux-pnl-exposure-leverage-fees-and-automation-states,show,ds,ds-security-risk,Security and risk,1,4,048,text,320,"Risk Visibility in Trading UX — PnL, exposure, leverage, fees and automation states",Trading and automation UX,"My trading automation experience gives me practical sensitivity to what traders need to see: PnL, exposure, leverage, fees, entries, exits, bot state, drawdown and downside conditions. Good trading UX does not hide complexity; it organizes it so the user can stay in control under pressure.",,,,"Risk visibility for CEX, DEX, bot and futures-facing products.",,,,,,,,,,Product Strategy|Product/UX/UI Design|Trading & Automation|Trading|Trading UX|Trust UX|Product UX,Imported from main DS 2026 row 058; case-study rows adapted to Trust Wallet DS card templates.
027,security-sensitive-design-judgment-no-casino-ux-for-serious-financial-products,show,ds,ds-security-risk,Security and risk,1,5,010|048,text,320,Security-Sensitive Design Judgment — No casino UX for serious financial products,Trust-sensitive financial UX,"For wallets, exchanges, stablecoins, lending products and trading tools, the interface cannot behave like a casino. It has to slow users down where risk matters, expose important states, make costs visible and help people understand what they are about to do before money moves.",,,,Security-sensitive product judgment for serious financial interfaces.,,,,,,,,,,Product/UX/UI Design|Creative Direction & Art Direction|Content & Narrative|Fintech|DeFi|Trust UX|Product UX,Imported from main DS 2026 row 057; case-study rows adapted to Trust Wallet DS card templates.
028,ds-terra-ui-kit,show,ds,ds-systems-craft,Systems and craft,3,1,005|048,text,320,Terra Classic UI Kit,Systems proof,Designed and released a free Figma UI kit to standardize wallet and dApp UX across the ecosystem and reduce friction for builders.,,,,,,,,,,,,,,ui-kit|design-system|ecosystem|components,Outer ring
029,ds-design-systems,show,ds,ds-systems-craft,Systems and craft,3,2,005|048,text,320,Design systems and component libraries,Systems proof,"Own design-system thinking across products: patterns, component consistency, documentation, and cross-team quality control.",,,,,,,,,,,,,,design-system|components|documentation|consistency,Outer ring
030,ds-challenge-studio,show,ds,ds-systems-craft,Systems and craft,3,3,001|003|008|049|051|052|053,text-image-ext,320,CHALLENGE Studio operating system,Leadership proof,"Built and led an award-winning branding and product/UX agency, managing cross-functional teams up to 15 and long-running product programs.",,,,,ds_cardimage_5.png,,,,,,,,,leadership|studio|operating-model|cross-functional,Outer ring
031,ds-complex-flows,show,ds,ds-systems-craft,Systems and craft,3,5,048,text,320,Complex-flow UX across Web2 and Web3,Relevant proof,"Repeatedly designed high-friction flows: onboarding, KYC, trading, staking, configuration, governance, and high-value transactions.",,,,,,,,,,,,,,complex-flows|onboarding|kyc|staking|governance,Outer ring
032,ds-product-leadership,show,ds,ds-systems-craft,Systems and craft,3,6,047,text,320,Senior but still hands-on in product,Leadership proof,"Operate across problem definition, direction-setting, UX architecture, documentation, prototype creation, and delivery rather than waiting for specs.",,,,,,,,,,,,,,product-leadership|hands-on|end-to-end|ownership,Outer ring
033,ds-dre-configurator,show,ds,ds-complex-products,Complex products,6,2,004,metric,320,DRE configurator,Complex-product proof,"Designed UX for a complex industrial configurator where clarity, high-stakes choices, and business logic had to work together.",46k,product configurations with ROI in 3 months,,Proof of structured UX for risk-heavy choices.,,,,,,,,,,configurator|complex-ux|business-logic|roi,Outer ring
034,ds-hamilton-may,show,ds,ds-complex-products,Complex products,6,3,004|051,metric,320,Hamilton May,Commercial proof,Brand and UX work improved comprehension and conversion in a high-consideration real-estate product.,+47%,"users, plus 2× leads",,Proof that clarity and craft can move growth metrics.,,,,,,,,,,growth|ux|brand|real-estate|conversion,Outer ring
035,ds-lamania,show,ds,ds-complex-products,Complex products,6,4,051,metric,320,LaMania,Commercial proof,Redesigned brand and e-commerce experience to turn stronger narrative and UX into measurable commercial impact.,+615%,online sales,,Proof that design quality can translate into revenue.,,,,,,,,,,ecommerce|growth|brand|ux|sales,Outer ring
036,ds-70-awards,show,ds,ds-complex-products,Complex products,6,5,049,metric,320,Awarded creative quality,Craft proof,"Recognition across Behance, Awwwards, CSSWinner, Adweek, and other platforms shows sustained standards rather than a single lucky project.",70+,awarded works,,External validation of visual and interaction craft.,,,,,,,,,,awards|craft|recognition|quality,Outer ring
037,ds-150-projects,show,ds,ds-complex-products,Complex products,6,8,004|049|051,metric,320,Delivery at scale,Execution proof,"The studio delivered a large volume of work across tech, fintech, Web3, and global brands without abandoning quality or accountability.",150+,projects delivered,,"Proof of repeatable execution, not isolated brilliance.",,,,,,,,,,scale|delivery|execution|agency,Outer ring
038,eth-warsaw-2025-terra-classic-blockchain-so-decentralized-it-s-out-of-this-world,show,ds,public-web3-presence-events-and-speaking,"Public Web3 Presence, Events & Speaking",7,1,004|006|007,text-image-ext,320,"ETH Warsaw 2025 — Terra Classic, blockchain so decentralized it’s out of this world","ETH Warsaw 2025 — Warsaw, September 2025","Presented the Terra Classic rebuilding story in a public Web3 conference setting. The talk reframed a post-collapse chain as a live, community-led ecosystem: core upgrades, tokenomics fixes, L2 activity, market-module overhaul, and new stablecoin ideas.",,,,"Talk: Terra Classic — Blockchain so decentralized, it’s out of this world.",ds_cardimage_2.png,,,,,,,,,Brand Strategy|Content & Narrative|Public Speaking & Networking|Public Speaking|Web3|Terra Classic|Public Presence,Imported from main DS 2026 row 070; case-study rows adapted to Trust Wallet DS card templates.
039,interchain-summit-2025-web3-media-marketing-discussion-panel,show,ds,public-web3-presence-events-and-speaking,"Public Web3 Presence, Events & Speaking",7,2,004|006|007,text-image-ext,320,InterChain Summit 2025 — Web3 Media / Marketing discussion panel,"InterChain Summit 2025 — Berlin, June 2025","Joined a Web3 Media / Marketing discussion panel in a cross-chain ecosystem context. Represented Terra Classic and Juris Protocol through product, narrative, DeFi, and ecosystem conversations with builders, investors, and Web3 operators.",,,,Panel: Web3 Media / Marketing.,ds_cardimage_3.png,,,,,,,,,Content & Narrative|Sales & Client Management|Public Speaking & Networking|Public Speaking|Web3|Public Presence|Narrative,Imported from main DS 2026 row 071; case-study rows adapted to Trust Wallet DS card templates.
040,art-vs-ai-digital-ars-discussion-panel-on-ai-experience,show,ds,public-web3-presence-events-and-speaking,"Public Web3 Presence, Events & Speaking",7,3,007|009,text-image-ext,320,Art vs AI: Digital Ars — Discussion panel on AI experience,"Digital Ars / Thursday Gathering #195 — Warsaw, June 2024","Joined the “Art vs AI: Digital Ars” discussion panel during the Digital Shapers & Ars: The AI Experience event organized by CampusAI Poland, Venture Café Warsaw Foundation, and Fundacja Digital Poland.",,,,Panel: Art vs AI — the role of AI in contemporary creative work.,ds_cardimage_1.png,,,,,,,,,AI-native Product Creation|Content & Narrative|Public Speaking & Networking|Public Speaking|AI|AI-Native|Public Presence,Imported from main DS 2026 row 072; case-study rows adapted to Trust Wallet DS card templates.
041,design-hive-2-to-brand-or-not-to-brand,show,ds,public-web3-presence-events-and-speaking,"Public Web3 Presence, Events & Speaking",7,4,004|006|007|009,text-image-ext,320,Design Hive #2 — To brand or not to brand,"Design Hive #2 — Katowice, September 2024","Spoke about using AI tools in branding processes — not as decoration or shortcut, but as a practical layer for exploration, positioning, visual direction, and faster strategic iteration.",,,,Talk: To brand or not to brand.,ds_cardimage_18.png,,,,,,,,,AI-native Product Creation|Brand Strategy|Training & Facilitation|Public Speaking & Networking|Public Speaking|AI|Brand System|Public Presence,Imported from main DS 2026 row 073; case-study rows adapted to Trust Wallet DS card templates.
042,remote-from-poland-globally-available-for-web3-events-and-strategic-work,show,ds,practical-fit-for-tech-fintech-and-web3-decision-makers,"Practical Fit for Tech, Fintech & Web3 Decision-Makers",8,4,001|051,map,320,"Remote from Poland, globally available for Web3 events and strategic work",,,,,,"Based in Poland, operating in a practical EU timezone, and comfortable travelling for conferences, workshops, partner conversations and ecosystem-facing work.",,,,50.4459,18.8619,"Tarnowskie Góry / Katowice area, Poland",,,,Sales & Client Management|Public Speaking & Networking|Web3|Public Presence|CTA,Imported from main DS 2026 row 123; case-study rows adapted to Trust Wallet DS card templates.
043,available-for-full-time-leadership-or-fractional-brand-ux-product-roles,show,ds,practical-fit-for-tech-fintech-and-web3-decision-makers,"Practical Fit for Tech, Fintech & Web3 Decision-Makers",8,1,047|051,badge,185,Available for full-time leadership or fractional Brand / UX / Product roles,,"Available as Head of Design, Design Lead (Brand / Product / UX), Head of Product Design, Head of Brand Design, or fractional Brand / UX / Product partner — depending on where the team needs ownership.",,,,"Best for teams that need senior direction, hands-on execution, and clear ownership across brand, product and narrative.",,,,,,,,,,Design Leadership & Operating Model|Product Strategy|Brand Strategy|CTA|Leadership|Web3|Fintech,Imported from main DS 2026 row 120; case-study rows adapted to Trust Wallet DS card templates.
044,best-fit-wallets-exchanges-defi-stablecoins-infra-and-ecosystem-teams,show,ds,practical-fit-for-tech-fintech-and-web3-decision-makers,"Practical Fit for Tech, Fintech & Web3 Decision-Makers",8,2,001|047,badge,185,"Best fit: Wallets, exchanges, DeFi, stablecoins, infra and ecosystem teams",,"Ideal fit: wallets, exchanges, trading tools, DeFi protocols, stablecoins, RWAs, Web3 infrastructure, and L1 / L2 ecosystems where trust, clarity, onboarding and adoption matter.",,,,"Strongest match where the product is technically serious but needs clearer UX, stronger narrative and a more coherent market-facing system.",,,,,,,,,,Product Strategy|Product/UX/UI Design|Content & Narrative|Web3|DeFi|Stablecoin|Trust UX,Imported from main DS 2026 row 121; case-study rows adapted to Trust Wallet DS card templates.
