card_no,slug,visible,association,cluster,cluster_title,section_no,card_order,connect_to,type,width,title,kicker,body,metric_value,metric_label,quote,caption,image_src,link_label,link_url,map_lat,map_lng,map_address,timeline_30,timeline_60,timeline_90,tags,notes
097,global-web3-mobility-comfortable-where-product-narrative-and-visibility-overlap,show,ds,public-web3-presence-events-and-speaking,"Public Web3 Presence, Events & Speaking",7,9,006|007,badge,185,"Global Web3 Mobility — Comfortable where product, narrative and visibility overlap",,"Comfortable representing products and ecosystems in live environments where product clarity, narrative, trust, and presence matter.",,,,"Useful for conferences, panels, partner conversations, workshops, and ecosystem-facing roles.",,,,,,,,,,Sales & Client Management|Public Speaking & Networking|Web3|Public Presence|Leadership,Imported from main DS 2026 row 078; case-study rows adapted to Trust Wallet DS card templates.
098,public-contributor-not-portfolio-tourist,show,ds,public-web3-presence-events-and-speaking,"Public Web3 Presence, Events & Speaking",7,10,006|007,quote,320,"Public Contributor, Not Portfolio Tourist",,,,,"I do not just attend Web3 events. I represent products, test narratives, debate with builders, gather feedback, and turn live conversations into clearer positioning.",Public-facing operating principle.,,,,,,,,,,Product Strategy|Brand Strategy|Public Speaking & Networking|Web3|Public Presence|Leadership|Narrative,Imported from main DS 2026 row 079; case-study rows adapted to Trust Wallet DS card templates.
099,ideal-engagement-launch-clarify-reposition-redesign-explain-prototype,show,ds,practical-fit-for-tech-fintech-and-web3-decision-makers,"Practical Fit for Tech, Fintech & Web3 Decision-Makers",8,6,001|047,text,320,"Ideal engagement: Launch, clarify, reposition, redesign, explain, prototype",Engagement model,"The best use of me is not isolated decoration. Use me when a product needs to become clearer, more credible and more usable: launch strategy, repositioning, UX redesign, narrative architecture, documentation, pitch materials or AI-native prototype work.",,,,"Architect, Builder and Communicator — one senior operator connecting the system.",,,,,,,,,,Product Strategy|AI-native Product Creation|Brand Strategy|Content & Narrative|CTA|AI-Native|Brand System|Narrative,Imported from main DS 2026 row 125; case-study rows adapted to Trust Wallet DS card templates.
100,not-a-narrow-pixel-pusher-a-senior-operator-who-connects-the-dots,show,ds,practical-fit-for-tech-fintech-and-web3-decision-makers,"Practical Fit for Tech, Fintech & Web3 Decision-Makers",8,7,001|047,quote,320,Not a narrow pixel-pusher — a senior operator who connects the dots,,Not a narrow pixel-pusher — a senior operator who connects the dots,,,,Practical-fit principle from my operating model.,,,,,,,,,,Design Leadership & Operating Model|Product Strategy|Brand Strategy|CTA|Leadership|Product UX|Brand System,Imported from main DS 2026 row 126; case-study rows adapted to Trust Wallet DS card templates.
101,book-a-discovery-call-with-me,show,ds,practical-fit-for-tech-fintech-and-web3-decision-makers,"Practical Fit for Tech, Fintech & Web3 Decision-Makers",8,8,,link,320,Book a discovery call with me,,"For project work, fractional support or full-time leadership conversations across Tech, Fintech and Web3.",,,,Start with a focused conversation around the highest-leverage gap.,,Book a discovery call,https://calendly.com/dawidskinder/intro-call,,,,,,,Sales & Client Management|CTA,Imported from main DS 2026 row 127; case-study rows adapted to Trust Wallet DS card templates.
102,challenge-studio-built-and-led-an-award-winning-creative-agency,show,ds,agency-founder-team-leadership-and-delivery-system,"Agency Founder, Team Leadership & Delivery System",13,1,001|003|008|049|051|052|053,text-image-ext,320,CHALLENGE Studio — Built and led an award-winning creative agency,Founder / Creative Director,"I built CHALLENGE Studio into an award-winning brand and product/UX agency, leading design and development teams up to 15 specialists across strategy, identity, websites, UX/UI, digital products and launch materials. This is the operating proof behind my Web3 work: hiring, sales, scoping, delivery, quality control, client trust and commercial judgment under real pressure.",,,,"Agency-founder proof, not only design-craft proof.",ds_cardimage_5.png,,,,,,,,,Design Leadership & Operating Model|Creative Direction & Art Direction|Sales & Client Management|Operations & Finance|Leadership|Commercial Impact|Creative Direction,Imported from main DS 2026 row 080; case-study rows adapted to Trust Wallet DS card templates.
103,squad-leadership-direction-standards-and-quality-without-micromanagement,show,ds,agency-founder-team-leadership-and-delivery-system,"Agency Founder, Team Leadership & Delivery System",13,2,003|005|052|053,text,320,"Squad Leadership — Direction, standards and quality without micromanagement",Team leadership,"My role is to set the direction, raise the quality bar and create the system that lets specialists do their best work. I align designers, developers, writers, founders and stakeholders around clear decisions, critique rituals, ownership, delivery standards and a shared definition of what “good” means.",,,,"Best used when a team needs senior direction, not more noise.",,,,,,,,,,Design Leadership & Operating Model|Creative Direction & Art Direction|Training & Facilitation|Leadership|Creative Direction|Trust UX,Imported from main DS 2026 row 081; case-study rows adapted to Trust Wallet DS card templates.
104,one-man-army-when-needed-leader-of-a-squad-when-it-matters,show,ds,agency-founder-team-leadership-and-delivery-system,"Agency Founder, Team Leadership & Delivery System",13,3,003|047|052,quote,320,"One-Man Army When Needed, Leader of a Squad When It Matters",,,,,"I can carry an early project on my back if needed, but my real superpower is building and leading the system that lets a whole team ship great work consistently.",Operating principle from my playbook.,,,,,,,,,,Design Leadership & Operating Model|Product Strategy|AI-native Product Creation|Leadership|AI-Native|Product UX,Imported from main DS 2026 row 082; case-study rows adapted to Trust Wallet DS card templates.
105,sales-estimation-proposals-contracts-and-client-management,show,ds,agency-founder-team-leadership-and-delivery-system,"Agency Founder, Team Leadership & Delivery System",13,4,008|051|053,text,320,"Sales, Estimation, Proposals, Contracts and Client Management",Commercial operator,"Running CHALLENGE Studio trained me to operate beyond design craft: full sales cycles, project estimation, proposals, contracts, scope control, procurement realities, stakeholder management and client trust. I understand what decision-makers risk when they hire a team, because I have lived on both the creative and business side of that table.",,,,"Useful for founders who need someone with commercial judgment, not only execution skill.",,,,,,,,,,Design Leadership & Operating Model|Sales & Client Management|Operations & Finance|Leadership|Commercial Impact,Imported from main DS 2026 row 083; case-study rows adapted to Trust Wallet DS card templates.
106,budgeting-invoicing-and-cash-flow-reality,show,ds,agency-founder-team-leadership-and-delivery-system,"Agency Founder, Team Leadership & Delivery System",13,5,008|051|053,text,320,"Budgeting, Invoicing and Cash-Flow Reality",Founder reality,"I have dealt with the unglamorous layer of creative work: budgets, invoices, margins, cash-flow timing, delivery risk, cost-benefit trade-offs and project ROI. That experience makes my product and design decisions more grounded: beautiful work still has to survive business reality.",,,,Founder-level financial discipline applied to creative and product work.,,,,,,,,,,Sales & Client Management|Operations & Finance|Leadership|Commercial Impact,Imported from main DS 2026 row 084; case-study rows adapted to Trust Wallet DS card templates.
107,hiring-mentorship-critique-rituals-and-quality-standards,show,ds,agency-founder-team-leadership-and-delivery-system,"Agency Founder, Team Leadership & Delivery System",13,6,003|005|008|052|053,text,320,"Hiring, Mentorship, Critique Rituals and Quality Standards",Design leadership system,"I have built the team operating system around hiring, onboarding, mentorship cadence, design critique, documentation, cross-team consistency and release readiness. The goal is not to control every decision. The goal is to make the standard visible enough that the team can scale without quality collapsing.",,,,How creative quality becomes repeatable instead of accidental.,,,,,,,,,,Design Leadership & Operating Model|Training & Facilitation|Leadership|Creative Direction,Imported from main DS 2026 row 085; case-study rows adapted to Trust Wallet DS card templates.
108,10-years-closing-and-delivering-b2b-creative-engagements,show,ds,agency-founder-team-leadership-and-delivery-system,"Agency Founder, Team Leadership & Delivery System",13,7,003|008|049|051|052|053,metric,320,10+ years closing and delivering B2B creative engagements,Commercial track record,,10+,years closing and delivering B2B creative engagements,,"Proof of sales, scoping, delivery and client-management maturity from running CHALLENGE Studio.",,,,,,,,,,Design Leadership & Operating Model|Sales & Client Management|Operations & Finance|Metric|Leadership|Commercial Impact,Imported from main DS 2026 row 087; case-study rows adapted to Trust Wallet DS card templates.
129,challenge-studio-design-development-team-1,show,ds,agency-founder-team-leadership-and-delivery-system,"Agency Founder, Team Leadership & Delivery System",13,8,001|003|008|049|051|052|053,image,320,,,,,,,CHALLENGE Studio design & development team under my management,ds_challenge_1.png,,,,,,,,,Design Leadership & Operating Model|Leadership|Creative Direction,Added 2026-05-18 from owner-provided CHALLENGE Studio team imagery.
130,challenge-studio-design-development-team-2,show,ds,agency-founder-team-leadership-and-delivery-system,"Agency Founder, Team Leadership & Delivery System",13,9,001|003|008|049|051|052|053,image,320,,,,,,,CHALLENGE Studio design & development team under my management,ds_challenge_2.png,,,,,,,,,Design Leadership & Operating Model|Leadership|Creative Direction,Added 2026-05-18 from owner-provided CHALLENGE Studio team imagery.
131,challenge-studio-design-development-team-3,show,ds,agency-founder-team-leadership-and-delivery-system,"Agency Founder, Team Leadership & Delivery System",13,10,001|003|008|049|051|052|053,image,320,,,,,,,CHALLENGE Studio design & development team under my management,ds_challenge_3.png,,,,,,,,,Design Leadership & Operating Model|Leadership|Creative Direction,Added 2026-05-18 from owner-provided CHALLENGE Studio team imagery.
109,edrone-brand-strategy-that-solved-the-previously-unsolved-logo-problem,show,ds,brand-systems-identity-and-market-positioning,"Brand Systems, Identity & Market Positioning",14,1,002|004|006|050|051,text-image-ext,320,A brand strategy that solves the previously unsolved logo problem and becomes the foundation for building digital tools,edrone,"Creating the brand strategy that will solve the problem of the similarity of the mark in the current edrone logo to the popular ""hamburger"" menu icon while maintaining the assumption of using 3 lines. Designing a key visual that will explain the meaning of the 3 dots and will be the basis for building modern digital tools edrone (new website).",,,,Marketing automation,case_edrone_01.jpg,View source case study,,,,,,,,Brand Strategy|Brand Design|Creative Direction & Art Direction|Case Study|SaaS|Brand System|Creative Direction,Imported from main DS 2026 row 032; case-study rows adapted to Trust Wallet DS card templates.
110,tekniska-strategy-and-digital-tools-that-overcame-a-15m-pln-revenue-barrier,show,ds,brand-systems-identity-and-market-positioning,"Brand Systems, Identity & Market Positioning",14,2,002|004|049|050,text-image-ext,320,Business and brand strategy as well as effective digital tools overcame a 15M PLN revenue barrier,Tekniska,"Tekniska has not been able to overcome the barrier of PLN 15,000,000 in annual revenue in recent years. This was due to the lack of a marketing strategy and chaos in the services offered. The goal was to solve this problem by implementing effective branding and UX/UI strategies.",$4M+,revenue barrier broken,,OT Data Transmission and Cybersecurity,case_tekniska_01.jpg,View source case study,https://www.behance.net/gallery/118430449/TEKNISKA-Strategy-branding-UXUI-design,,,,,,,Product Strategy|Product/UX/UI Design|Brand Strategy|Brand Design|Case Study|Industrial|Brand System|Growth|Commercial Impact,Imported from main DS 2026 row 033; case-study rows adapted to Trust Wallet DS card templates.
111,bluesoft-brand-strategy-and-ux-ui-for-1000-engineers-across-200-technologies,show,ds,brand-systems-identity-and-market-positioning,"Brand Systems, Identity & Market Positioning",14,3,002|004|049|050|051,text-image-ext,320,Brand strategy & UX/UI design for software house with 1000 world-class engineers mastering over 200 technologies,Bluesoft,Solving the logo problem (misleading graphic solution) and building a coherent visual identification for a modern software company implementing digital transformation projects for corporations around the world.,,,,Software House,case_bluesoft_01.jpg,View source case study,https://www.behance.net/gallery/143561411/Bluesoft-Branding-UXUI-design,,,,,,,Product/UX/UI Design|Brand Strategy|Brand Design|Case Study|Tech|SaaS|Brand System|Product UX,Imported from main DS 2026 row 034; case-study rows adapted to Trust Wallet DS card templates.
112,rage-quit-games-rebrand-for-gamedev-employer-branding,show,ds,brand-systems-identity-and-market-positioning,"Brand Systems, Identity & Market Positioning",14,4,002|004|006|050|051,text-image-ext,320,Rebranding in GameDev sector with employer branding in mind,Rage Quit Games,Designing a visual identification that will make current employees increase their loyalty to the brand and potential new employees rush to get hired.,,,,Game Dev,case_ragequitgames_01.jpg,View source case study,https://www.behance.net/gallery/145121033/Rage-Quit-Games-Branding,,,,,,,Brand Strategy|Brand Design|Creative Direction & Art Direction|Case Study|Gaming|Brand System|Creative Direction,Imported from main DS 2026 row 035; case-study rows adapted to Trust Wallet DS card templates.
113,deeper-uab-rebranding-for-outdoor-consumer-technology,show,ds,brand-systems-identity-and-market-positioning,"Brand Systems, Identity & Market Positioning",14,5,002|004|050,text-image-ext,320,New edition of Smart Sonar,Deeper UAB,Creating a brand strategy that delights audiences as much as their innovative gadgets do.,,,,Smart Equipment/gadgets for anglers,case_deeper-rebranding_01.jpg,View source case study,https://www.behance.net/gallery/41007581/Deeper-Rebranding,,,,,,,Brand Strategy|Brand Design|Creative Direction & Art Direction|Case Study|Tech|Brand System|Creative Direction,Imported from main DS 2026 row 036; case-study rows adapted to Trust Wallet DS card templates.
114,riqochet-brand-strategy-for-a-competitive-sports-app-entering-the-usa-market,show,ds,brand-systems-identity-and-market-positioning,"Brand Systems, Identity & Market Positioning",14,6,002|004|050,text-image-ext,320,Brand strategy for a mobile app taking the USA team sports market by storm,Riqochet,Creating a brand that fits both the hot and luxurious Miami vibe as well as the aggressive and ruthless world of modern and trending team sports like Padel or Golf.,,,,Mobile Apps / Sports,case_riqocket_01.jpg,View source case study,https://www.behance.net/gallery/242688191/Riqochet-Brand-strategy,,,,,,,Product Strategy|Brand Strategy|Brand Design|Creative Direction & Art Direction|Case Study|Tech|Brand System|Product UX,Imported from main DS 2026 row 037; case-study rows adapted to Trust Wallet DS card templates.
115,nayan-brand-strategy-for-an-ai-powered-search-engine-backed-by-google,show,ds,brand-systems-identity-and-market-positioning,"Brand Systems, Identity & Market Positioning",14,7,002|004|009|050,text-image-ext,320,Brand strategy for an innovative AI-powered search engine backed up by Google,Nayan,Creating a unified and understandable brand strategy for a product that currently operates locally on the Indian market but has big plans for global expansion,,,,AI Search engines,case_nayan_01.jpg,View source case study,,,,,,,,Product Strategy|AI-native Product Creation|Brand Strategy|Brand Design|Case Study|AI|AI-Native|Brand System,Imported from main DS 2026 row 038; case-study rows adapted to Trust Wallet DS card templates.
116,afriso-rebrand-that-introduced-consistency-and-production-cost-savings,show,ds,brand-systems-identity-and-market-positioning,"Brand Systems, Identity & Market Positioning",14,8,002|004|005|006|050|051,text-image-ext,320,Rebranding that introduces consistency and thus savings in production costs,AFRISO,"Designing a brand strategy and key visual that will introduce visual consistency, which will result in an easier production process of marketing tools and, consequently, lower production costs. Additionally, emphasizing the new, dynamic model in which the organization has been operating in relations with the installation industry for a long time.",,,,Heating and sanitary technology,case_afriso_01.jpg,View source case study,https://www.behance.net/gallery/185330617/AFRISO-Rebranding,,,,,,,Brand Strategy|Brand Design|Operations & Finance|Case Study|Industrial|Brand System|Commercial Impact,Imported from main DS 2026 row 039; case-study rows adapted to Trust Wallet DS card templates.
117,lett-by-nrep-brand-strategy-for-a-nordic-private-equity-housing-platform,show,ds,brand-systems-identity-and-market-positioning,"Brand Systems, Identity & Market Positioning",14,9,002|004|050,text-image-ext,320,Brand strategy for Lett - Rental apartments platform introduced by a leading Nordic private equity real estate firm,NREP,"Creation of a brand strategy (from naming, positioning and messaging to the logo and key visual) for a new rental apartments platform that will be a combination of Scandinavian solidity and Polish hospitality. Introducing a brand to the Polish market that in terms of its image, also exudes freedom, safety and simplicity of service.",,,,Real Estate,case_lett_01.jpg,View source case study,https://www.behance.net/gallery/185088569/Lett-You-are-at-home-Branding,,,,,,,Brand Strategy|Brand Design|Content & Narrative|Case Study|Real Estate|Brand System|Narrative,Imported from main DS 2026 row 040; case-study rows adapted to Trust Wallet DS card templates.
118,skullhead-by-pitbull-brand-strategy-and-product-design-against-the-odds,show,ds,brand-systems-identity-and-market-positioning,"Brand Systems, Identity & Market Positioning",14,10,002|004|050,text-image-ext,320,Skullhead - Brand strategy and product design for new emerging fashion brand. Against the odds.,PITBULL sp. z o.o.,"Creating a unique fashion brand in terms of character, mission, products and target group (corporate rebels). Implementing modern e-commerce with a twist.",,,,E-commerce,case_skullhead_01.jpg,View source case study,https://www.behance.net/gallery/116545855/Skullhead-Branding-UXUI-design,,,,,,,Brand Strategy|Brand Design|Creative Direction & Art Direction|Case Study|E-Commerce|Brand System|Creative Direction,Imported from main DS 2026 row 041; case-study rows adapted to Trust Wallet DS card templates.
119,reshape-brand-strategy-and-product-design-case-study,show,ds,brand-systems-identity-and-market-positioning,"Brand Systems, Identity & Market Positioning",14,11,002|004|050,text-image-ext,320,Brand strategy for award-winning unique sports center build in a place with extraordinary history,Multus,"Designing the image, countless marketing tools and a website for a new investment in the heart of Silesia - a sports center on a scale unseen in Poland, with a soul and a modern architecture.",,,,Gym / Health,case_reshape_01.jpg,View source case study,https://www.behance.net/gallery/92980705/ReShape-Branding-web-design,,,,,,,Brand Strategy|Brand Design|Creative Direction & Art Direction|Case Study|Brand System|Award|Creative Direction,Imported from main DS 2026 row 042; case-study rows adapted to Trust Wallet DS card templates.
120,brand-as-infrastructure-not-logo-not-cosmetics-but-operating-layer,show,ds,brand-systems-identity-and-market-positioning,"Brand Systems, Identity & Market Positioning",14,12,001|002|005|006|050,quote,320,"Brand as Infrastructure — Not logo, not cosmetics, but operating layer",,"Brand as Infrastructure — Not logo, not cosmetics, but operating layer",,,,,,,,,,,,,,Design Leadership & Operating Model|Brand Strategy|Brand Design|Brand System|Narrative|Leadership,Imported from main DS 2026 row 043; case-study rows adapted to Trust Wallet DS card templates.
121,product-narrative-for-complex-protocols,show,ds,content-narrative-and-technical-communication,"Content, Narrative & Technical Communication",15,1,001|006|007|010|048,text,320,Product Narrative for Complex Protocols,,"I translate protocol mechanics, token logic and complex system behavior into narratives that users, partners, investors and non-technical stakeholders can understand and act on. The work is not just copy; it is the mental model that makes a complex product legible, trustworthy and usable.",,,,"Protocol narrative, messaging architecture and technical translation.",,,,,,,,,,Product Strategy|Brand Strategy|Content & Narrative|Web3|DeFi|Narrative|Technical Communication,Imported from main DS 2026 row 062; case-study rows adapted to Trust Wallet DS card templates.
122,documentation-lead-for-usdyb,show,ds,content-narrative-and-technical-communication,"Content, Narrative & Technical Communication",15,2,010,text-image-ext,320,Documentation Lead for USDyb,Yield-bearing stablecoin,"Core team contributor responsible for full technical documentation and mechanism explanation for USDyb, a decentralised, fully automated yield-bearing stablecoin. The work translated stability logic, yield design and risk management into a clear product narrative for users, partners, investors and due-diligence readers.",,,,"Stablecoin documentation, mechanism explanation and product narrative.",ds_cardimage_10.png,,,,,,,,,Product Strategy|Brand Strategy|Content & Narrative|Stablecoin|DeFi|Technical Communication|Trust UX,Imported from main DS 2026 row 063; case-study rows adapted to Trust Wallet DS card templates.
123,investor-and-partner-decks-mechanism-market-roadmap-and-trust-story,show,ds,content-narrative-and-technical-communication,"Content, Narrative & Technical Communication",15,3,004|006|007|049|050,text-image-ext,320,"Investor and Partner Decks — Mechanism, market, roadmap and trust story",Investor and partner communication,"For USDyb and other Web3 products, I structure investor and partner decks so mechanism, market, roadmap and risk story support each other. The objective is simple: make the product credible enough for serious conversations without reducing it to hype.",,,,"Pitch decks, fundraising narratives and partner-facing materials.",ds_cardimage_13.png,,,,,,,,,Product Strategy|Brand Design|Creative Direction & Art Direction|Content & Narrative|Fintech|Narrative|Brand System|Trust UX,Imported from main DS 2026 row 064; case-study rows adapted to Trust Wallet DS card templates.
124,terra-classic-long-form-analysis-evidence-structured-ecosystem-writing,show,ds,content-narrative-and-technical-communication,"Content, Narrative & Technical Communication",15,4,010,text-image-ext,320,Terra Classic Long-Form Analysis — Evidence-structured ecosystem writing,State of the Chain Report 2022–2026,"Terra Classic Four Years After is a large-scale strategic writing and research project built to assess the real condition of Terra Classic after the May 2022 collapse. It connects protocol health, governance, validators, token economics, builder reality, treasury management, adoption, legal exposure and reputation into one decision-grade communication artifact.",,,,"Evidence-structured ecosystem analysis for investors, builders and community stakeholders.",ds_cardimage_14.png,Check the report,https://www.terra-classic.money,,,,,,,Product Strategy|Content & Narrative|Terra Classic|Report|Narrative|Technical Communication,Imported from main DS 2026 row 065; case-study rows adapted to Trust Wallet DS card templates.
125,website-and-app-copy-governance,show,ds,content-narrative-and-technical-communication,"Content, Narrative & Technical Communication",15,5,002|005|010|048,text,320,Website and App Copy Governance,,"I govern copy across websites, app surfaces, documentation, decks and launch materials so the product uses one clear mental model everywhere. This includes messaging frameworks, UX microcopy, onboarding explanations, risk states, CTAs and style rules that help teams ship coherent communication instead of fragmented copy.",,,,"Website copy, app copy, UX writing and style-guide discipline.",,,,,,,,,,Product/UX/UI Design|Brand Strategy|Content & Narrative|Narrative|Product UX|Brand System,Imported from main DS 2026 row 066; case-study rows adapted to Trust Wallet DS card templates.
126,launch-ready-copy-across-web-decks-docs-social-and-x-spaces,show,ds,content-narrative-and-technical-communication,"Content, Narrative & Technical Communication",15,6,004|006,text,320,"Launch-Ready Copy Across Web, Decks, Docs, Social and X Spaces",,"I turn product strategy into launch-ready communication across landing pages, documentation, blogs, emails, social scripts, decks and X Spaces. I partner with product, growth and DevRel so every channel explains the same product promise and moves the audience toward action.",,,,From product message to launch assets across channels.,,,,,,,,,,Content & Narrative|Sales & Client Management|Public Speaking & Networking|Narrative|Public Presence|Technical Communication,Imported from main DS 2026 row 067; case-study rows adapted to Trust Wallet DS card templates.
127,from-technical-complexity-to-language-serious-people-can-use,show,ds,content-narrative-and-technical-communication,"Content, Narrative & Technical Communication",15,7,007|010,quote,320,From technical complexity to language serious people can use,,,,,"I do not only design interfaces; I design the explanation layer around complex products — the language, structure and evidence that help serious people understand what is true, what matters and what should happen next.",Content & Narrative principle,,,,,,,,,,Product Strategy|Content & Narrative|Training & Facilitation|Narrative|Technical Communication|Trust UX,Imported from main DS 2026 row 068; case-study rows adapted to Trust Wallet DS card templates.
128,narrative-system-not-random-content,show,ds,content-narrative-and-technical-communication,"Content, Narrative & Technical Communication",15,8,001|002|005|007|010,text,320,"Narrative System, Not Random Content",,"Strong Web3 communication is a system: positioning, terminology, proof hierarchy, editorial cadence, UX copy and public narrative. I build that system so founders, product teams and growth teams stop improvising and start repeating a message that can compound.",,,,"Messaging framework, editorial system and narrative governance.",,,,,,,,,,Design Leadership & Operating Model|Brand Strategy|Content & Narrative|Narrative|Brand System|Leadership,Imported from main DS 2026 row 069; case-study rows adapted to Trust Wallet DS card templates.
